title,genre,platform
The Witcher 3: Wild Hunt - Blood and Wine,roleplaying action rpg,PlayStation 4
Tiger Woods PGA Tour 2005,sports traditional individual golf sim sim,PC
ESPN NFL Football,sports traditional football sim,Xbox
NCAA Football 2003,sports traditional football sim,GameCube
The Longest Journey,adventure thirdperson pointandclick fantasy fantasy,PC
Tony Hawk's Pro Skater 2,sports alternative individual skateboarding skateboarding skate  skateboard,PC
Star Wars Jedi Knight: Dark Forces II,action shooter shooter firstperson scifi arcade,PC
Batman: Arkham Asylum,action adventure fantasy general fantasy,PC
Halo: Reach,action shooter shooter firstperson scifi scifi arcade,Xbox 360
Galactic Civilizations II: Dark Avatar,strategy turnbased scifi scifi 4x,PC
Mass Effect,roleplaying action rpg consolestyle rpg japanesestyle westernstyle,Xbox 360
The Operative: No One Lives Forever,action shooter shooter firstperson modern modern arcade,PC
Forza Motorsport 4,driving racing simulation gt  street gt  street automobile,Xbox 360
Resident Evil,action adventure horror,PlayStation
Battlefield 2,action shooter shooter firstperson tactical modern modern,PC
God of War Collection,miscellaneous action adventure fantasy compilation compilation,PlayStation 3
Celeste,action platformer 2d,PlayStation 4
Madden NFL 2005,sports traditional football sim,PlayStation 2
Tony Hawk's Pro Skater 3,sports alternative skateboarding,GameCube
Street Fighter IV,action fighting fighting 3d 2d 3d,PC
Fallout 3,roleplaying firstperson firstperson westernstyle,PC
Batman: Arkham City,action adventure fantasy fantasy openworld,PC
Fez,action platformer platformer 2d 2d,PC
Planescape: Torment,roleplaying general pcstyle rpg westernstyle,PC
Sonic Mania Plus,action platformer 2d,Switch
Gears of War 3,action shooter shooter thirdperson scifi scifi arcade,Xbox 360
Killzone 2,action shooter shooter firstperson scifi scifi arcade,PlayStation 3
Neverwinter Nights,roleplaying pcstyle rpg pcstyle rpg westernstyle,PC
Batman: Arkham Asylum,action adventure fantasy general fantasy,PlayStation 3
Castlevania: Aria of Sorrow,action platformer 2d,GameBoyAdvance
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,action shooter shooter firstperson modern modern arcade,PC
INSIDE,action platformer 2d,PlayStation 4
Legacy of Kain: Soul Reaver,action adventure horror,PlayStation
Dragon Age: Origins,roleplaying pcstyle rpg pcstyle rpg westernstyle,PC
Dead Cells,action platformer 2d,XboxOne
Golden Sun,roleplaying consolestyle rpg,GameBoyAdvance
Rayman Legends,action platformer platformer 2d 2d,PlayStation 3
Mark of the Ninja,action platformer platformer 2d 2d,PC
World Soccer Winning Eleven 8 International,sports traditional soccer sim,PlayStation 2
SteamWorld Heist: Ultimate Edition,strategy turnbased general,Switch
The Legend of Zelda: A Link Between Worlds,action rpg roleplaying action adventure general action rpg openworld,3DS
Dark Souls II,action rpg roleplaying action rpg,PC
Castlevania: Circle of the Moon,action platformer 2d,GameBoyAdvance
Far Cry 3,action shooter shooter firstperson modern modern arcade,Xbox 360
Dark Souls II,action rpg roleplaying action rpg,PlayStation 3
Shovel Knight: Treasure Trove,action platformer 2d,Switch
flower,general miscellaneous general,PlayStation 4
Mario Kart DS,driving racing arcade kart kart automobile,DS
Call of Duty,action shooter shooter firstperson thirdperson historic tactical historic arcade,PC
Madden NFL 2004,sports traditional team football sim sim,PC
Mario Golf,sports traditional golf arcade,Nintendo 64
Crash Bandicoot 3: Warped,action platformer 3d,PlayStation
Assassin's Creed II,action adventure historic historic openworld,Xbox 360
Project Gotham Racing 2,driving racing gt  street,Xbox
NBA 2K12,sports traditional team basketball sim sim,PlayStation 3
The Sims 2,simulation miscellaneous virtual life virtual virtual life,PC
World of Warcraft: Cataclysm,roleplaying massively multiplayer online massively multiplayer fantasy fantasy,PC
Half-Life 2,action shooter firstperson scifi,Xbox
NCAA Football 2003,sports traditional football sim,Xbox
Rayman 2: The Great Escape,action platformer 3d,Nintendo 64
Bayonetta,action action adventure beatemup fantasy beatemup linear,Xbox 360
Diablo III: Ultimate Evil Edition,action rpg roleplaying action rpg,PlayStation 4
Overwatch,action shooter firstperson tactical,PlayStation 4
Far Cry 3,action shooter shooter firstperson modern modern arcade,PlayStation 3
ICO,action adventure fantasy,PlayStation 2
Tom Clancy's Ghost Recon Advanced Warfighter,action shooter shooter firstperson tactical modern modern,Xbox 360
FIFA Soccer 12,sports traditional team soccer sim sim,PlayStation 3
World of Goo,miscellaneous puzzle action puzzle general puzzle general,PC
Mario & Luigi: Superstar Saga,roleplaying consolestyle rpg,GameBoyAdvance
Shovel Knight,action platformer 2d,PlayStation 4
Tony Hawk's Underground,sports alternative skateboarding,PlayStation 2
Marvel vs. Capcom 2,action fighting 2d,Dreamcast
Ape Escape,action platformer 3d,PlayStation
Syphon Filter,action shooter thirdperson modern,PlayStation
Mario & Luigi: Bowser's Inside Story,roleplaying action rpg consolestyle rpg consolestyle rpg japanesestyle,DS
Trials Evolution,driving racing simulation motorcycle automobile street street,Xbox 360
Grand Theft Auto IV: The Lost and Damned,action adventure modern modern openworld,Xbox 360
FIFA Soccer 12,sports traditional team soccer sim sim,Xbox 360
Spelunky,action platformer platformer 2d 2d,PC
FIFA Soccer 10,sports traditional team soccer sim sim,Xbox 360
Ratchet & Clank: Going Commando,action platformer 3d,PlayStation 2
NBA Street Vol. 2,sports traditional basketball arcade,PlayStation 2
Tennis 2K2,sports traditional tennis,Dreamcast
Black & White,strategy realtime fantasy general fantasy,PC
Fallout 3,roleplaying firstperson firstperson westernstyle,PlayStation 3
The Legend of Zelda: The Wind Waker HD,action adventure fantasy fantasy openworld,WiiU
ESPN NFL 2K5,sports traditional football sim,PlayStation 2
Portal,action shooter shooter firstperson scifi scifi arcade,PC
The Legend of Zelda: Phantom Hourglass,action adventure fantasy fantasy openworld,DS
MVP Baseball 2004,sports traditional baseball sim,PlayStation 2
Tony Hawk's Pro Skater 3,sports alternative skateboarding,GameBoyAdvance
Dance Dance Revolution,miscellaneous rhythm dancing,PlayStation
NHL 2001,sports traditional team ice hockey sim sim,PC
Advance Wars: Dual Strike,strategy turnbased modern modern tactics,DS
Rayman Legends,platformer 2d action platformer 2d,PlayStation 4
MLB 11: The Show,sports traditional team baseball sim sim,PlayStation 3
NieR: Automata - Become as Gods Edition,roleplaying action rpg,XboxOne
Jak and Daxter: The Precursor Legacy,action platformer 3d,PlayStation 2
Star Wars Rogue Leader: Rogue Squadron II,simulation scifi small spaceship,GameCube
Monster Hunter: World,roleplaying action rpg,XboxOne
Stephen's Sausage Roll,puzzle action general,PC
Velocity 2X,shooter scrolling action general shooter scrolling shootemup vertical,PlayStationVita
Burnout Revenge,driving racing arcade,PlayStation 2
Tony Hawk's Pro Skater 3,sports alternative individual skateboarding skateboarding skate  skateboard,PC
NBA 2K2,sports traditional basketball sim,GameCube
NCAA Football 2002,sports traditional football sim,PlayStation 2
Unreal Tournament,action shooter firstperson scifi,Dreamcast
Deus Ex,action adventure scifi scifi general,PC
Donkey Kong 64,action platformer 3d,Nintendo 64
Panzer Dragoon Orta,action shooter rail,Xbox
Dead Cells,action platformer 2d,Switch
Portal: Still Alive,action shooter shooter firstperson scifi scifi arcade,Xbox 360
Half-Life 2: Episode Two,action shooter shooter firstperson scifi scifi arcade,PC
Fez,action platformer platformer 2d 2d,PlayStation 4
Braid,action platformer platformer 2d 2d,PC
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,action shooter shooter firstperson scifi scifi arcade,PC
